s1:

+---------------------+--------+----+
| time                | player | ip |
+---------------------+--------+----+
| 2016-08-18 00:03:51 |     16 | 28 |
| 2016-08-18 00:08:52 |     19 | 31 |
| 2016-08-18 00:13:52 |     19 | 31 |
| 2016-08-18 00:18:52 |     18 | 30 |
| 2016-08-18 00:23:53 |     17 | 29 |
| 2016-08-18 00:28:53 |     17 | 28 |
| 2016-08-18 00:33:53 |     15 | 27 |
| 2016-08-18 00:38:54 |     14 | 26 |
| 2016-08-18 00:43:54 |     15 | 25 |
| 2016-08-18 00:48:54 |     13 | 25 |
| 2016-08-18 00:53:55 |     13 | 25 |
| 2016-08-18 00:58:55 |     12 | 24 |
| 2016-08-18 01:03:55 |      9 | 22 |
| 2016-08-18 01:08:55 |      9 | 22 |
| 2016-08-18 01:13:56 |      9 | 22 |
| 2016-08-18 01:18:56 |     10 | 23 |
| 2016-08-18 01:23:56 |     10 | 22 |
| 2016-08-18 01:28:57 |     10 | 22 |
| 2016-08-18 01:33:57 |     10 | 22 |
| 2016-08-18 01:38:57 |      9 | 21 |
| 2016-08-18 01:43:58 |      8 | 19 |
| 2016-08-18 01:48:58 |      8 | 20 |
| 2016-08-18 01:53:58 |      8 | 20 |
| 2016-08-18 01:58:58 |      8 | 20 |
| 2016-08-18 02:03:59 |      7 | 19 |
| 2016-08-18 02:08:59 |      8 | 19 |
| 2016-08-18 02:13:59 |      7 | 19 |
| 2016-08-18 02:19:00 |      7 | 19 |
| 2016-08-18 02:24:00 |      7 | 19 |
| 2016-08-18 02:29:00 |      7 | 19 |
| 2016-08-18 02:34:01 |      7 | 19 |
| 2016-08-18 02:39:01 |      6 | 18 |
| 2016-08-18 02:44:01 |      6 | 18 |
| 2016-08-18 02:49:01 |      6 | 18 |
| 2016-08-18 02:54:02 |      6 | 18 |
| 2016-08-18 02:59:02 |      6 | 18 |
| 2016-08-18 03:04:02 |      4 | 16 |
| 2016-08-18 03:09:03 |      4 | 16 |
| 2016-08-18 03:14:03 |      4 | 16 |
| 2016-08-18 03:19:03 |      4 | 16 |
| 2016-08-18 03:24:04 |      3 | 15 |
| 2016-08-18 03:29:04 |      3 | 15 |
| 2016-08-18 03:34:04 |      3 | 15 |
| 2016-08-18 03:39:04 |      3 | 15 |
| 2016-08-18 03:44:05 |      3 | 15 |
| 2016-08-18 03:49:05 |      3 | 15 |
| 2016-08-18 03:54:05 |      3 | 15 |
| 2016-08-18 03:59:06 |      3 | 15 |
| 2016-08-18 04:04:06 |      3 | 15 |
| 2016-08-18 04:09:06 |      3 | 15 |
| 2016-08-18 04:14:07 |      3 | 15 |
| 2016-08-18 04:19:07 |      3 | 15 |
| 2016-08-18 04:24:07 |      3 | 15 |
| 2016-08-18 04:29:07 |      3 | 15 |
| 2016-08-18 04:34:08 |      3 | 15 |
| 2016-08-18 04:39:08 |      3 | 15 |
| 2016-08-18 04:44:08 |      3 | 15 |
| 2016-08-18 04:49:09 |      3 | 15 |
| 2016-08-18 04:54:09 |      4 | 16 |
| 2016-08-18 04:59:09 |      5 | 17 |
