

currency total:

+------------+------+-----------+
| money_type | type | sum       |
+------------+------+-----------+
|          1 |    1 |     48258 |
|          1 |    2 |     34387 |
|          2 |    1 |     32880 |
|          2 |    2 |     10783 |
|          3 |    2 |         0 |
|          4 |    1 | 337504597 |
|          4 |    2 | 153283104 |
|          8 |    1 |     12590 |
|          8 |    2 |      6928 |
|         61 |    1 |     16235 |
|         61 |    2 |     47400 |
|         66 |    1 |   4309756 |
|         66 |    2 |   9199032 |
|         67 |    1 |    100851 |
|         67 |    2 |     71111 |
+------------+------+-----------+



currency each point:
+------------+------+-------+-----------+
| money_type | type | point | sum       |
+------------+------+-------+-----------+
|          1 |    1 |   100 |     48240 |
|          1 |    1 |  1707 |        18 |
|          1 |    2 |     0 |        40 |
|          1 |    2 |   102 |       135 |
|          1 |    2 |   201 |       197 |
|          1 |    2 |   202 |         0 |
|          1 |    2 |   302 |         0 |
|          1 |    2 |   424 |     14524 |
|          1 |    2 |  1102 |       118 |
|          1 |    2 |  1111 |        80 |
|          1 |    2 |  1204 |       127 |
|          1 |    2 |  1206 |        93 |
|          1 |    2 |  1302 |         0 |
|          1 |    2 |  1303 |        60 |
|          1 |    2 |  1307 |         0 |
|          1 |    2 |  1501 |        40 |
|          1 |    2 |  1504 |       328 |
|          1 |    2 |  1704 |        20 |
|          1 |    2 |  1802 |      2859 |
|          1 |    2 |  2003 |         6 |
|          1 |    2 |  2102 |       650 |
|          1 |    2 |  2104 |       100 |
|          1 |    2 |  2202 |         0 |
|          1 |    2 |  2406 |       120 |
|          1 |    2 |  2408 |         0 |
|          1 |    2 |  2604 |         0 |
|          1 |    2 |  2912 |        70 |
|          1 |    2 |  3055 |         0 |
|          1 |    2 |  3056 |       100 |
|          1 |    2 |  3057 |        20 |
|          1 |    2 |  3309 |     14000 |
|          1 |    2 |  3501 |        25 |
|          1 |    2 |  3503 |         0 |
|          1 |    2 |  4103 |        30 |
|          1 |    2 |  4501 |         0 |
|          1 |    2 |  4902 |       360 |
|          1 |    2 |  4906 |       195 |
|          1 |    2 |  5001 |         0 |
|          1 |    2 |  5003 |        30 |
|          1 |    2 |  9006 |        60 |
|          1 |    2 | 10002 |         0 |
|          1 |    2 | 11102 |         0 |
|          2 |    1 |   106 |     15850 |
|          2 |    1 |   107 |       580 |
|          2 |    1 |   716 |       180 |
|          2 |    1 |  2216 |       420 |
|          2 |    1 |  3303 |     15900 |
|          2 |    2 |   201 |       700 |
|          2 |    2 |   202 |        47 |
|          2 |    2 |   424 |      2848 |
|          2 |    2 |  1102 |        62 |
|          2 |    2 |  1204 |      2069 |
|          2 |    2 |  1307 |       357 |
|          2 |    2 |  2102 |      2562 |
|          2 |    2 |  2202 |       405 |
|          2 |    2 |  2408 |       200 |
|          2 |    2 |  2604 |       200 |
|          2 |    2 |  3055 |       900 |
|          2 |    2 |  3503 |       128 |
|          2 |    2 |  4501 |       307 |
|          2 |    2 |  5001 |         6 |
|          3 |    2 |  9011 |         0 |
|          4 |    1 |     0 |    110000 |
|          4 |    1 |   101 |        10 |
|          4 |    1 |   106 |  72770000 |
|          4 |    1 |   301 |   2257998 |
|          4 |    1 |   705 |   2230000 |
|          4 |    1 |   706 |   8518400 |
|          4 |    1 |   709 |    181232 |
|          4 |    1 |   716 |   1800000 |
|          4 |    1 |  1301 |   2497877 |
|          4 |    1 |  1306 |     39392 |
|          4 |    1 |  1307 |    665467 |
|          4 |    1 |  2010 |  19129230 |
|          4 |    1 |  2011 |   6701980 |
|          4 |    1 |  2013 |   1885440 |
|          4 |    1 |  2016 |     92000 |
|          4 |    1 |  2101 |  30927600 |
|          4 |    1 |  2216 |   2100000 |
|          4 |    1 |  2304 | 101821432 |
|          4 |    1 |  2701 |    424165 |
|          4 |    1 |  2901 |     69000 |
|          4 |    1 |  3050 |   1353961 |
|          4 |    1 |  3051 |     40800 |
|          4 |    1 |  3052 |    316909 |
|          4 |    1 |  3058 |  31436284 |
|          4 |    1 |  3301 |  14660000 |
|          4 |    1 |  3504 |    100000 |
