

currency total:

+------------+------+-----------+
| money_type | type | sum       |
+------------+------+-----------+
|          1 |    1 |      9410 |
|          1 |    2 |      4151 |
|          2 |    1 |     21695 |
|          2 |    2 |      4125 |
|          3 |    2 |         0 |
|          4 |    1 | 256547396 |
|          4 |    2 |  77718035 |
|          8 |    1 |       820 |
|          8 |    2 |       298 |
|         61 |    1 |      8200 |
|         61 |    2 |     39350 |
|         66 |    1 |   4393454 |
|         67 |    1 |     55292 |
|         67 |    2 |     30700 |
+------------+------+-----------+



currency each point:
+------------+------+-------+----------+
| money_type | type | point | sum      |
+------------+------+-------+----------+
|          1 |    1 |   100 |     9410 |
|          1 |    2 |     0 |      210 |
|          1 |    2 |   102 |       10 |
|          1 |    2 |   201 |        0 |
|          1 |    2 |   302 |        8 |
|          1 |    2 |   424 |     2780 |
|          1 |    2 |  1204 |       42 |
|          1 |    2 |  1303 |        5 |
|          1 |    2 |  1307 |        0 |
|          1 |    2 |  1501 |       40 |
|          1 |    2 |  1504 |      102 |
|          1 |    2 |  1802 |      866 |
|          1 |    2 |  2003 |        3 |
|          1 |    2 |  2102 |        0 |
|          1 |    2 |  2202 |        0 |
|          1 |    2 |  3055 |        0 |
|          1 |    2 |  4103 |       10 |
|          1 |    2 |  4902 |        0 |
|          1 |    2 |  4906 |       60 |
|          1 |    2 |  5001 |        0 |
|          1 |    2 |  5003 |        0 |
|          1 |    2 | 10002 |       15 |
|          2 |    1 |   106 |     8575 |
|          2 |    1 |   107 |      270 |
|          2 |    1 |   716 |       50 |
|          2 |    1 |  2216 |      180 |
|          2 |    1 |  3303 |    12640 |
|          2 |    2 |   201 |      130 |
|          2 |    2 |   424 |      450 |
|          2 |    2 |  1204 |     1537 |
|          2 |    2 |  1307 |      150 |
|          2 |    2 |  1802 |       25 |
|          2 |    2 |  2102 |     1480 |
|          2 |    2 |  2202 |      157 |
|          2 |    2 |  3055 |      205 |
|          2 |    2 |  5001 |        4 |
|          3 |    2 |  9011 |        0 |
|          4 |    1 |   106 | 35377000 |
|          4 |    1 |   301 |   111500 |
|          4 |    1 |   705 |  2000000 |
|          4 |    1 |   706 |  9862400 |
|          4 |    1 |   709 |    98976 |
|          4 |    1 |   716 |   500000 |
|          4 |    1 |  1301 |  2057508 |
|          4 |    1 |  1306 |     6850 |
|          4 |    1 |  1307 |   149637 |
|          4 |    1 |  2010 | 14800980 |
|          4 |    1 |  2011 |  3639060 |
|          4 |    1 |  2013 |  1268480 |
|          4 |    1 |  2016 |    27000 |
|          4 |    1 |  2101 | 20508840 |
|          4 |    1 |  2216 |   900000 |
|          4 |    1 |  2304 | 99935174 |
|          4 |    1 |  2701 |   156720 |
|          4 |    1 |  2901 |    13000 |
|          4 |    1 |  3050 |  1566000 |
|          4 |    1 |  3051 |     9600 |
|          4 |    1 |  3052 |   176849 |
|          4 |    1 |  3058 | 20907000 |
|          4 |    1 |  3301 | 11080000 |
|          4 |    1 |  3801 | 31420000 |
|          4 |    1 |  4801 |   120000 |
|          4 |    1 |  5002 |   300000 |
|          4 |    2 |     0 |    40000 |
|          4 |    2 |   414 | 18540000 |
|          4 |    2 |   416 |    23200 |
|          4 |    2 |   701 |  1500000 |
|          4 |    2 |   710 |  1500000 |
|          4 |    2 |  1111 |   317845 |
|          4 |    2 |  1201 | 26976427 |
|          4 |    2 |  1501 |  1000000 |
|          4 |    2 |  1504 |  2520700 |
|          4 |    2 |  2104 |   840000 |
|          4 |    2 |  2402 |  7592000 |
|          4 |    2 |  2403 |  6930000 |
|          4 |    2 |  2404 |  5460000 |
|          4 |    2 |  2405 |  1980000 |
|          4 |    2 |  2702 |  2285000 |
|          4 |    2 |  2704 |       55 |
|          4 |    2 |  4906 |    27500 |
|          4 |    2 |  9002 |   107700 |
|          4 |    2 |  9004 |   135000 |
|          4 |    2 |  9011 |   235500 |
|          8 |    1 |   106 |      820 |
|          8 |    2 |     0 |        0 |
|          8 |    2 |   102 |        0 |
|          8 |    2 |   201 |        0 |
|          8 |    2 |   302 |       40 |
|          8 |    2 |   424 |       70 |
|          8 |    2 |  1204 |       16 |
|          8 |    2 |  1303 |        5 |
|          8 |    2 |  1307 |        0 |
|          8 |    2 |  1501 |        0 |
|          8 |    2 |  1504 |       82 |
|          8 |    2 |  1802 |       20 |
|          8 |    2 |  2003 |        0 |
|          8 |    2 |  2102 |        0 |
|          8 |    2 |  2202 |        0 |
|          8 |    2 |  3055 |        0 |
|          8 |    2 |  4103 |        5 |
|          8 |    2 |  4902 |       20 |
|          8 |    2 |  4906 |       20 |
|          8 |    2 |  5001 |        0 |
|          8 |    2 |  5003 |        5 |
|          8 |    2 | 10002 |       15 |
|         61 |    1 |   102 |       30 |
|         61 |    1 |   103 |      565 |
|         61 |    1 |   105 |     4910 |
|         61 |    1 |   106 |     1260 |
|         61 |    1 |  2012 |      740 |
|         61 |    1 |  2013 |      230 |
|         61 |    1 |  4803 |      470 |
|         61 |    2 |  1308 |    39435 |
|         66 |    1 |   106 |    57000 |
|         66 |    1 |  2010 |  4340786 |
|         66 |    1 |  2106 |     4200 |
|         66 |    1 |  2210 |      956 |
|         66 |    1 |  4101 |     1600 |
|         66 |    1 |  5002 |     3000 |
|         67 |    1 |  1504 |    43607 |
|         67 |    1 |  2013 |    12685 |
|         67 |    2 |  1506 |    30700 |
+------------+------+-------+----------+
